db_question_ids,imported_in_current_db,grade,source_lesson,source_url,source_question_number,matched_lesson_id,matched_chapter,matched_lesson,match_score,risk_flags,correct_answer,text,choices
106,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,1,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,D,Em hãy chọn đáp án đúng nhất Cách đọc số đúng là:,A. Một | B. Hai | C. Ba | D. Bốn
106,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,2,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,C,Em hãy chọn đáp án đúng nhất Cách đọc số đúng là:,A. Một | B. Hai | C. Ba | D. Bốn
106,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,3,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,D,Em hãy chọn đáp án đúng nhất Cách đọc số đúng là:,A. Hai | B. Không | C. Ba | D. Năm
106,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,4,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,A,Em hãy chọn đáp án đúng nhất Cách đọc số đúng là:,A. Một | B. Không | C. Năm | D. Bốn
107,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,1,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,C,Em hãy chọn đáp án đúng nhất Đếm số con sóc. Có bao nhiêu con sóc?,A. 2 | B. 3 | C. 1 | D. 0
108,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,2,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,B,Em hãy chọn đáp án đúng nhất Đếm số ô tô. Có bao nhiêu ô tô?,A. 2 | B. 4 | C. 3 | D. 0
109,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,3,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,B,Em hãy chọn đáp án đúng nhất Đếm số con cá vàng. Có bao nhiêu con cá vàng?,A. 5 | B. 3 | C. 4 | D. 2
110,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,4,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,C,Em hãy chọn đáp án đúng nhất Đếm số bút chì. Có bao nhiêu cái bút chì?,A. 4 | B. 2 | C. 5 | D. 3
111,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,1,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,B,Em hãy chọn đáp án đúng nhất Hình bên có:,A. 3 cái bút chì màu xanh | B. 4 cái bút chì màu vàng | C. 2 cái bút chì màu xanh | D. 3 cái bút chì màu vàng
111,true,1,"Trắc nghiệm Bài 1: Các số 0, 1, 2, 3, 4, 5",https://vietjack.com/toan-1-ket-noi/trac-nghiem-bai-1-cac-so-0-1-2-3-4-5.jsp,2,3,Chủ đề 1: Các số đến 10,"3. Các số 1, 2, 3",80,ambiguous_match,C,Em hãy chọn đáp án đúng nhất Hình bên có:,A. 3 cái xe máy | B. 2 cái xe ô tô | C. 3 cái xe ô tô | D. 5 cái xe máy
